omega_j	omega_k	Q_value
0	0	2.606614033209943e-1
0	1	-2.385730546191351e0
0	2	2.677721543795294e0
0	3	-1.052412003854691e0
0	4	1.542421820487043e-1
0	5	-6.067695109021349e-3
0	6	5.001152663353056e-6
1	0	-2.385730546191351e0
1	1	6.673073062071735e1
1	2	-1.130865265767238e2
1	3	6.701655738252866e1
1	4	-1.530054837897680e1
1	5	1.021759380637346e0
1	6	-1.829280929476956e-3
2	0	2.677721543795294e0
2	1	-1.130865265767238e2
2	2	2.046083831482056e2
2	3	-1.258854862993002e2
2	4	2.954598414442494e1
2	5	-2.023607914253264e0
2	6	3.656869848012796e-3
3	0	-1.052412003854691e0
3	1	6.701655738252866e1
3	2	-1.258854862993002e2
3	3	7.911585879035437e1
3	4	-1.870205885174231e1
3	5	1.303521233465350e0
3	6	-2.579002162121184e-3
4	0	1.542421820487043e-1
4	1	-1.530054837897680e1
4	2	2.954598414442494e1
4	3	-1.870205885174231e1
4	4	4.365045820087367e0
4	5	-3.010587780413989e-1
4	6	6.139227687905994e-4
5	0	-6.067695109021349e-3
5	1	1.021759380637346e0
5	2	-2.023607914253264e0
5	3	1.303521233465350e0
5	4	-3.010587780413989e-1
5	5	1.977896736942727e-2
5	6	-3.374058777975713e-5
6	0	5.001152663353056e-6
6	1	-1.829280929476956e-3
6	2	3.656869848012796e-3
6	3	-2.579002162121184e-3
6	4	6.139227687905994e-4
6	5	-3.374058777975713e-5
6	6	8.421605343965949e-8
