omega_j	omega_k	Q_value
1	1	1.907124601143005e1
1	2	-2.143608902537965e1
1	3	7.681034173521923e0
1	4	-7.553446169527108e-1
1	5	1.096586381444782e-3
2	1	-2.143608902537965e1
2	2	2.678193202326560e1
2	3	-1.014764221998938e1
2	4	1.055726536401959e0
2	5	-1.931349336034130e-3
3	1	7.681034173521923e0
3	2	-1.014764221998938e1
3	3	4.008444895312188e0
3	4	-4.231829661850742e-1
3	5	8.209059412339848e-4
4	1	-7.553446169527108e-1
4	2	1.055726536401959e0
4	3	-4.231829661850742e-1
4	4	4.191406817819475e-2
4	5	-7.873840422029438e-5
5	1	1.096586381444782e-3
5	2	-1.931349336034130e-3
5	3	8.209059412339849e-4
5	4	-7.873840422029438e-5
5	5	1.814178816215652e-7
